,relative_path,size_bytes,extension
25,core/core/registry/alpha_sensor_registry_non-normalized.json,77164,.json
29,core/core/registry/alpha_system_registry.json,1732,.json
55,core/core/registry/back-up/._alpha_light_registry_020525.json,389,.json
57,core/core/registry/back-up/._alpha_sensor_registry.json.2025-06-06_01-19-04.backup,389,.backup
56,core/core/registry/back-up/alpha_light_registry_020525.json,108951,.json
58,core/core/registry/back-up/alpha_sensor_registry.json.2025-06-06_01-19-04.backup,77175,.backup
23,core/core/registry/device_groups.json,20687,.json
45,core/core/registry/meta-schema/._alpha_device_registry_structure_example.json,389,.json
41,core/core/registry/meta-schema/._alpha_light_meta.json,219,.json
53,core/core/registry/meta-schema/._alpha_sensor_meta.json,219,.json
51,core/core/registry/meta-schema/._meta_alpha_device_registry_27_04_2025.json,219,.json
37,core/core/registry/meta-schema/._meta_registry_mapping.json,219,.json
39,core/core/registry/meta-schema/._meta_registry_meta.json,219,.json
49,core/core/registry/meta-schema/._meta_registry_validation_log.json,219,.json
47,core/core/registry/meta-schema/._meta_room_registry.json,163,.json
43,core/core/registry/meta-schema/._meta_sensor_signal_plane.json,219,.json
46,core/core/registry/meta-schema/alpha_device_registry_structure_example.json,4496,.json
42,core/core/registry/meta-schema/alpha_light_meta.json,19434,.json
54,core/core/registry/meta-schema/alpha_sensor_meta.json,33781,.json
52,core/core/registry/meta-schema/meta_alpha_device_registry_27_04_2025.json,12054,.json
38,core/core/registry/meta-schema/meta_registry_mapping.json,17115,.json
40,core/core/registry/meta-schema/meta_registry_meta.json,20191,.json
50,core/core/registry/meta-schema/meta_registry_validation_log.json,15211,.json
48,core/core/registry/meta-schema/meta_room_registry.json,7056,.json
44,core/core/registry/meta-schema/meta_sensor_signal_plane.json,11550,.json
34,core/core/registry/omega_device_registry.json,243012,.json
27,core/core/registry/omega_room_registry.json,37368,.json
59,core/core/registry/project_registry_unification/._alpha_registry_scaffold.json,364,.json
61,core/core/registry/project_registry_unification/._canonical_id_map.json,163,.json
60,core/core/registry/project_registry_unification/alpha_registry_scaffold.json,851,.json
62,core/core/registry/project_registry_unification/canonical_id_map.json,323,.json
63,core/core/registry/project_registry_unification/conflict_trace.json,274,.json
65,core/core/registry/project_registry_unification/integration_aliases.json,142,.json
64,core/core/registry/project_registry_unification/registry_delta_patch.json,55,.json
20,core/core/testing/._migration_validation_test_suite.md,219,.md
21,core/core/testing/migration_validation_test_suite.md,17329,.md
107,custom_templates/._custom_templates,163,
132,custom_templates/custom_templates/._aether_climate_macro.jinja,163,.jinja
126,custom_templates/custom_templates/._developer_tools_templates.jinja,163,.jinja
146,custom_templates/custom_templates/._hephaestus_delta_macro.jinja,163,.jinja
144,custom_templates/custom_templates/._home_assistant_macros.jinja,219,.jinja
128,custom_templates/custom_templates/._light_availability_macro.jinja,163,.jinja
136,custom_templates/custom_templates/._light_availability_template.yaml,163,.yaml
112,custom_templates/custom_templates/._macro_abstraction_templates.jinja,163,.jinja
140,custom_templates/custom_templates/._phanes_core_template.jinja,163,.jinja
108,custom_templates/custom_templates/._phanes_wrapper_template.jinja,163,.jinja
118,custom_templates/custom_templates/._phanes_wrapper_template_v4.0.jinja,219,.jinja
120,custom_templates/custom_templates/._registry_macros.jinja,163,.jinja
114,custom_templates/custom_templates/._subsystem_macros.jinja,163,.jinja
122,custom_templates/custom_templates/._template.extract_canonical_id.jinja,163,.jinja
142,custom_templates/custom_templates/._template.library.jinja,219,.jinja
134,custom_templates/custom_templates/._theia_circadian_room_sensors.yaml.jinja,163,.jinja
130,custom_templates/custom_templates/._theia_circadian_room_sensors_dynamic.yaml.jinja,163,.jinja
138,custom_templates/custom_templates/._tier_beta_macro_library.jinja,163,.jinja
124,custom_templates/custom_templates/._tier_delta_macro_library.jinja,163,.jinja
